id,type,bytes,filename,sha256,relpath,validation_ok
919,application/vnd.openxmlformats-officedocument.wordprocessingml.document,488297,O-RAN.WG11.TR.CSM-Security-R004-v01.00.docx,4d6a2233eb94b9666b459e92224f04991123b189be013b5f75cbced2e66123ac,downloads/O-RAN.WG11.TR.CSM-Security-R004-v01.00.docx,True
929,application/pdf,1914707,O-RAN.WG1.TR.O-RES.0-R004-v01.00__id-929.pdf,e8c96f1f85d11c62a845755cd27370e7bc88f4f1c265e6d7e0218da571182a56,downloads/O-RAN.WG1.TR.O-RES.0-R004-v01.00__id-929.pdf,True
931,application/pdf,941105,O-RAN.WG1.TR.FILM.R004-v01.00.00.pdf,5e7cd7210a1981c14f13a97bdcf21a0ae5bb42f23e691fba25c64d8be2455c87,downloads/O-RAN.WG1.TR.FILM.R004-v01.00.00.pdf,True
934,application/vnd.openxmlformats-officedocument.wordprocessingml.document,284162,O-RAN.WG1.TR.SMO-INT-R004-v06.00.docx,e865cf7d0b7eb55bfbe3910407ef1d1b4be93a31a268de97b8276d4baa24efd0,downloads/O-RAN.WG1.TR.SMO-INT-R004-v06.00.docx,True
943,application/pdf,100093,O-RAN.WG2.TS.A1TP-R004-v03.05.pdf,bf274bd916a99c815629089cd83ca0c08d4f45bc9d640060b7b299445b199899,downloads/O-RAN.WG2.TS.A1TP-R004-v03.05.pdf,True
947,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4491636,O-RAN.WG3.TS.E2GAP-R004-v08.00.docx,259518c4326b0d585428275671a9c9f55bd46375fd4108fa9e1b0ae55c723e9c,downloads/O-RAN.WG3.TS.E2GAP-R004-v08.00.docx,True
948,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1359408,O-RAN.WG3.TS.E2AP-R004-v08.00.docx,e0bfb91a969b92dc5cffece68d28f6d73a450bdc63105e1484a2fbc2533a13d4,downloads/O-RAN.WG3.TS.E2AP-R004-v08.00.docx,True
949,application/vnd.openxmlformats-officedocument.wordprocessingml.document,239900,O-RAN.WG3.TS.E2SM-KPM-R004-v07.00__id-949.docx,cca469fbe01a8b1841c990dd2584d557773e2ecdf53f5ab6759efc3ee3a17d5c,downloads/O-RAN.WG3.TS.E2SM-KPM-R004-v07.00__id-949.docx,True
950,application/pdf,5466834,O-RAN.WG3.TS.E2SM-RC-R004-v09.00.pdf,14588dc60f5e71a8edda422854cbc28a83e66425696b5e2d3dd32c3ea115aae0,downloads/O-RAN.WG3.TS.E2SM-RC-R004-v09.00.pdf,True
960,application/pdf,1267936,O-RAN.WG6.TS.O-CLOUD-INTF-CONF-R004-v04.03.pdf,027b9011ec7997c950a3c48d69c54cd8f13c274e573bfee3dd2f3f2ab8ab9f80,downloads/O-RAN.WG6.TS.O-CLOUD-INTF-CONF-R004-v04.03.pdf,True
961,application/pdf,1519673,O-RAN.WG6.TR.O-CLOUD-ES-R004-v03.00.pdf,d2149c2935d05012aa68286e0cac6c6da2ed241c7b074e5488dde16aaa272713,downloads/O-RAN.WG6.TR.O-CLOUD-ES-R004-v03.00.pdf,True
968,application/pdf,2493128,O-RAN.WG6.AAL-Common-API-R004-v10.00.pdf,bd1eb791dda4bd57f8ce52eb41ca25399f9c193d354de2c776b49a59ef97e5c0,downloads/O-RAN.WG6.AAL-Common-API-R004-v10.00.pdf,True
969,application/pdf,1221637,O-RAN.WG6.AAL-GAnP-R004-v13.00.pdf,d34b9f0a92b85a5600c0ddfd894db09440c4f6b703bd1d9eef0a7604a20565c5,downloads/O-RAN.WG6.AAL-GAnP-R004-v13.00.pdf,True
970,application/pdf,4263367,O-RAN.WG7.OMAC-HRD.0-R004-v04.00.pdf,bcf58ea0b49311594b3558312dbf4c3cdce9dbcea2a1a7ee439600928d4fdb2a,downloads/O-RAN.WG7.OMAC-HRD.0-R004-v04.00.pdf,True
971,application/pdf,1596263,O-RAN.WG7.NES.0-R003-v03.0.pdf,b15d30c209eef974d5ffeeb49e68195950cf2f5928e4d53e6e326996dc700aea,downloads/O-RAN.WG7.NES.0-R003-v03.0.pdf,True
972,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3750849,O-RAN.WG8.TS.AAD.0-R005-v16.00.docx,755cc0ba2c522af78fc0112912333fb53217ff130fb28da6dc2a3c3d10364dee,downloads/O-RAN.WG8.TS.AAD.0-R005-v16.00.docx,True
973,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1422241,O-RAN.WG8.TS.IOT.0-R005-v14.00.docx,758198830fd46530d3b1d1a8aae57522aafbec236e1d80eb86780b7b05bf23f7,downloads/O-RAN.WG8.TS.IOT.0-R005-v14.00.docx,True
974,application/pdf,8203508,O-RAN.WG9.XTRP-MGT.0-R004-v10.00.pdf,a427b00d628979cc0c0d5da26e9602c21cf5b5d70042b73093567b7111c098bb,downloads/O-RAN.WG9.XTRP-MGT.0-R004-v10.00.pdf,True
975,application/pdf,12394810,O-RAN.WG9.XPSAAS.0-R004-v09.00.pdf,0cdea7e8d4a83d1f4e2dcd4979a9be55ee0d87e858762702873593d4b0e21312,downloads/O-RAN.WG9.XPSAAS.0-R004-v09.00.pdf,True
976,application/pdf,5964548,O-RAN.WG9.XTRP-SYN.0-R004-v07.00.pdf,8f345b262cc180e7f00651b9cdd9bed157c51f56ae5204c70ae07016491cb055,downloads/O-RAN.WG9.XTRP-SYN.0-R004-v07.00.pdf,True
977,application/pdf,1387094,O-RAN.WG10.TS.O1-Interface.0-R004-v17.00.pdf,afde3032026381a108f8f8ef6a3a92e93b39615f6fe693dfcc1a208ecea7cb72,downloads/O-RAN.WG10.TS.O1-Interface.0-R004-v17.00.pdf,True
978,application/x-zip-compressed,2725,O-RAN.WG10.TS.O1-Interface.1-R004-v17.00.zip,e9642fbdf65b8df566f9d6907cbd574962231a791cf96fc1e65db3d1b714858e,downloads/O-RAN.WG10.TS.O1-Interface.1-R004-v17.00.zip,True
979,application/pdf,8881252,O-RAN.WG10.TS.OAM-Architecture-R004-v16.00.pdf,effc8b390b811e8865e54285c27af68d0d7ddc81a963649ac543c8e508e1a9fa,downloads/O-RAN.WG10.TS.OAM-Architecture-R004-v16.00.pdf,True
980,application/pdf,1572749,O-RAN.WG10.TS.Information Model and Data Models.0-R004-v12.00.pdf,4a734327200cdc7020d967c3545973b5a95aef98e93426ec837d886b455febb3,downloads/O-RAN.WG10.TS.Information Model and Data Models.0-R004-v12.00.pdf,True
981,application/x-zip-compressed,6409,O-RAN.WG10.TS.Information Model and Data Models.1-R004-v12.00.zip,6f0df5d18c7d43037ed4c209fb3583c6fb1bfbfc7f441a0b15da007f8af84504,downloads/O-RAN.WG10.TS.Information Model and Data Models.1-R004-v12.00.zip,True
